"# PDIoT walking data"
"# Start time: 20191021T173514"
"# Group: NaN"
"# Subject: http://192.168.105.11:5000/index?data="
"# Activity type: NaN"
"# Sensor position: NaN"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 10"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1571675714344","0","-0.055664062","0.9667969","0.2109375","-0.0625","-1.0625","-0.5625"
"1571675714463","1","-0.056640625","0.95703125","0.22851562","0.59375","-1.46875","-0.8125"
"1571675714552","2","-0.07324219","0.95214844","0.23046875","1.375","0.40625","-1.34375"
"1571675714642","3","-0.07324219","0.9638672","0.20800781","1.6875","2.125","-0.5625"
"1571675714763","4","-0.06933594","0.96191406","0.20410156","1.375","2.125","-0.3125"
"1571675714883","5","-0.08105469","0.9638672","0.20117188","2.96875","2.71875","0.46875"
"1571675714942","6","-0.07910156","0.9560547","0.203125","0.34375","1.4375","-0.5"
"1571675715063","7","-0.08105469","0.9511719","0.19824219","1.375","2.125","0.28125"
"1571675715152","8","-0.087890625","0.95996094","0.19335938","1.875","1.21875","0.21875"
"1571675715242","9","-0.09863281","0.9550781","0.17871094","1.375","2.4375","-0.3125"
"1571675715364","10","-0.07421875","0.9589844","0.19335938","1.3125","3.21875","0.34375"
"1571675715454","11","-0.0859375","0.96972656","0.19238281","1.375","3.90625","0.53125"
"1571675715545","12","-0.072265625","0.9580078","0.17480469","1.03125","4.0","0.84375"
"1571675715664","13","-0.080078125","0.9511719","0.1796875","1.3125","0.46875","0.28125"
"1571675715752","14","-0.087890625","0.95996094","0.17578125","-0.0625","-0.375","0.03125"
"1571675715843","15","-0.0859375","0.96484375","0.171875","1.21875","0.15625","0.34375"
"1571675715932","16","-0.09277344","0.9658203","0.19140625","1.3125","0.71875","0.40625"
"1571675716052","17","-0.09863281","0.9628906","0.171875","-0.5","1.625","0.15625"
"1571675716144","18","-0.08105469","0.96484375","0.17285156","0.65625","1.875","0.46875"
"1571675716234","19","-0.08886719","0.96484375","0.18066406","0.0","0.84375","0.28125"
"1571675716352","20","-0.08300781","0.9716797","0.16992188","0.53125","0.78125","0.53125"
"1571675716442","21","-0.07128906","0.96191406","0.171875","0.65625","0.21875","0.03125"
"1571675716534","22","-0.095703125","0.95996094","0.17285156","-0.0625","-0.125","0.0"
"1571675716655","23","-0.09082031","0.9658203","0.18359375","0.03125","0.65625","0.28125"
"1571675716744","24","-0.0703125","0.9716797","0.16113281","0.0","2.65625","0.78125"
"1571675716835","25","-0.07421875","0.96484375","0.16503906","0.78125","3.90625","1.21875"
"1571675716952","26","-0.09472656","0.95996094","0.15429688","0.71875","4.375","1.5625"
"1571675717043","27","-0.0859375","0.96875","0.16601562","0.65625","3.90625","1.5"
"1571675717162","28","-0.08984375","0.96484375","0.15625","1.375","3.78125","1.375"
"1571675717255","29","-0.07714844","0.9765625","0.16503906","-0.125","3.59375","1.15625"
"1571675717344","30","-0.08203125","0.9609375","0.16308594","0.90625","3.09375","1.15625"
"1571675717434","31","-0.08496094","0.9609375","0.16796875","0.53125","2.5625","1.15625"
"1571675717554","32","-0.07519531","0.9580078","0.15527344","0.71875","2.65625","0.96875"
"1571675717645","33","-0.078125","0.9638672","0.14355469","0.96875","1.4375","0.65625"
"1571675717733","34","-0.0859375","0.95996094","0.15039062","-0.25","-0.5","0.34375"
"1571675717854","35","-0.07910156","0.9667969","0.1484375","2.125","1.6875","0.65625"
"1571675717944","36","-0.099609375","0.9550781","0.17675781","0.96875","-1.65625","-1.40625"
"1571675718034","37","-0.07324219","0.9785156","0.13769531","0.40625","-0.5","-0.4375"
"1571675718152","38","-0.08691406","0.9628906","0.15527344","1.5","1.75","1.09375"
"1571675718242","39","-0.095703125","0.96972656","0.13671875","0.21875","1.21875","0.40625"
"1571675718332","40","-0.08300781","0.96972656","0.13085938","1.5","0.21875","0.34375"
"1571675718454","41","-0.08984375","0.9716797","0.14453125","-0.0625","0.34375","0.21875"
"1571675718543","42","-0.08984375","0.97265625","0.14648438","0.53125","1.03125","0.65625"
"1571675718635","43","-0.09472656","0.9628906","0.1328125","0.84375","2.5","0.46875"
"1571675718755","44","-0.078125","0.9707031","0.13476562","-0.75","2.96875","1.3125"
"1571675718844","45","-0.09472656","0.97753906","0.13085938","-1.46875","1.625","1.5625"
"1571675718934","46","-0.087890625","0.96972656","0.13085938","-0.25","4.625","2.1875"
"1571675719054","47","-0.08496094","0.96777344","0.15332031","-3.5625","3.40625","1.75"
"1571675719145","48","-0.07910156","0.96777344","0.1328125","-1.40625","14.3125","7.8125"
"1571675719232","49","-0.087890625","0.96191406","0.19824219","-4.65625","2.78125","1.21875"
"1571675719352","50","-0.0703125","0.98046875","0.14160156","-6.0625","-0.25","1.6875"
"1571675719443","51","-0.07519531","0.9589844","0.16796875","-4.65625","0.65625","2.25"
"1571675719534","52","-0.080078125","0.9589844","0.18457031","-7.8125","-0.0625","1.5625"
"1571675719653","53","-0.08203125","0.953125","0.1796875","-7.9375","-0.5625","2.3125"
"1571675719744","54","-0.06640625","0.9638672","0.203125","-8.25","-1.125","2.96875"
"1571675719834","55","-0.08984375","0.95410156","0.21875","-6.125","2.96875","5.0"
"1571675719954","56","-0.051757812","0.95703125","0.21386719","-5.625","4.25","4.5625"
"1571675720044","57","-0.0234375","0.93847656","0.2529297","-12.09375","-7.78125","0.65625"
"1571675720134","58","-0.018554688","0.94628906","0.24316406","-6.125","0.34375","5.90625"
"1571675720255","59","-0.0048828125","0.9296875","0.29003906","-6.1875","11.75","5.59375"
"1571675720342","60","0.076171875","0.9658203","0.27734375","-5.5625","-4.78125","1.15625"
"1571675720433","61","0.034179688","0.9326172","0.27539062","-0.3125","16.59375","4.25"
"1571675720552","62","-0.043945312","0.94140625","0.26367188","-8.0625","23.375","2.5625"
"1571675720642","63","0.07714844","0.93847656","0.27929688","-10.09375","10.96875","-8.8125"
"1571675720732","64","-0.043945312","0.9248047","0.29589844","-9.90625","27.34375","-2.59375"
"1571675720852","65","0.109375","0.98046875","0.27539062","-9.90625","22.6875","-9.46875"
"1571675720974","66","0.064453125","1.1298828","0.31054688","16.34375","11.28125","3.46875"
"1571675721033","67","-0.09765625","1.0068359","-0.12207031","100.3125","72.625","18.71875"
"1571675721153","68","0.06933594","0.99609375","-0.028320312","131.5","36.90625","51.875"
"1571675721243","69","0.16796875","1.2080078","-0.1953125","30.375","81.90625","68.34375"
"1571675721334","70","0.0","0.87890625","-0.107421875","46.875","-94.3125","70.34375"
"1571675721454","71","-0.22167969","0.67089844","-0.12402344","-7.78125","-64.03125","17.4375"
"1571675721544","72","0.3359375","0.81152344","-0.36132812","-27.0","-6.84375","-18.5"
"1571675721633","73","0.13574219","0.8935547","-0.4169922","5.28125","-12.96875","28.1875"
"1571675721751","74","0.6357422","2.0","-1.4570312","-61.0625","-49.75","-24.0"
"1571675721842","75","-0.125","0.87597656","0.2841797","-101.9375","-37.1875","-67.53125"
"1571675721932","76","0.19433594","0.9580078","0.15039062","-55.625","89.9375","-18.15625"
