"# PDIoT walking data"
"# Start time: 20191029T120814"
"# Group: B"
"# Subject: ilie_walk_5step_wait_turn_5steps_1"
"# Activity type: Running"
"# Sensor position: Upper Leg"
"# Side of body: Right"
"# Sensor mounting: Pocket"
"# Number of steps: 10"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1572350894980","0","-0.9941406","0.032226562","-0.12011719","1.3125","-0.6875","-1.53125"
"1572350895038","1","-1.0019531","0.038085938","-0.103515625","2.46875","-0.90625","-2.28125"
"1572350895159","2","-0.9941406","0.0390625","-0.1015625","2.46875","-2.375","-1.65625"
"1572350895248","3","-0.9941406","0.028320312","-0.107421875","1.375","-2.8125","-2.28125"
"1572350895338","4","-0.99609375","0.05078125","-0.08496094","3.125","-4.34375","-2.28125"
"1572350895458","5","-1.0029297","0.06347656","-0.05859375","-4.5625","-7.34375","1.40625"
"1572350895547","6","-1.0166016","0.078125","-0.047851562","-0.46875","-8.96875","1.53125"
"1572350895667","7","-1.0205078","0.31152344","0.00390625","29.0625","-29.3125","28.75"
"1572350895758","8","-0.9345703","0.32714844","0.034179688","36.8125","-35.96875","73.15625"
"1572350895849","9","-1.0048828","0.5048828","-0.11035156","-68.21875","-8.0","64.125"
"1572350895938","10","-0.9042969","0.32714844","-0.0087890625","-62.40625","2.9375","65.96875"
"1572350896059","11","-0.7832031","0.29003906","0.11816406","-53.03125","15.4375","32.8125"
"1572350896149","12","-0.69921875","0.4013672","0.13964844","-50.53125","27.71875","1.03125"
"1572350896239","13","-0.78125","0.54003906","0.24804688","-54.0","37.53125","-19.53125"
"1572350896359","14","-0.79296875","0.71972656","0.2109375","4.84375","14.46875","-15.09375"
"1572350896448","15","-1.2070312","0.8886719","0.01171875","130.4375","-13.90625","25.5"
"1572350896538","16","-1.2363281","0.44921875","-0.33691406","-20.1875","36.5625","-56.28125"
"1572350896659","17","-0.97558594","0.08886719","-0.20800781","5.8125","27.9375","-64.15625"
"1572350896749","18","-0.9013672","0.2548828","-0.14160156","11.1875","33.25","-55.125"
"1572350896839","19","-0.9472656","0.04296875","-0.23730469","-4.75","33.03125","-28.15625"
"1572350896958","20","-0.9707031","0.057617188","-0.23730469","-20.0","36.75","-53.65625"
"1572350897049","21","-1.0048828","0.13574219","-0.19824219","61.53125","4.625","-17.65625"
"1572350897168","22","-1.0751953","0.3779297","-0.18164062","19.25","-22.46875","-16.3125"
"1572350897258","23","-1.2324219","0.50390625","0.06738281","-16.65625","-93.375","54.96875"
"1572350897349","24","-1.6015625","-0.22363281","-0.2607422","43.90625","-117.8125","131.875"
"1572350897439","25","-0.8378906","0.17382812","0.0","-6.625","-12.625","100.5625"
"1572350897558","26","-0.8232422","0.18261719","-0.12109375","-99.71875","25.75","63.71875"
"1572350897649","27","-0.5986328","0.26464844","0.13964844","-44.46875","26.0625","-2.28125"
"1572350897739","28","-0.91308594","0.8232422","0.22167969","-19.375","25.375","-14.53125"
"1572350897859","29","-0.8701172","0.7998047","0.2685547","-66.4375","8.78125","20.5"
"1572350897949","30","-1.8261719","0.4501953","0.26660156","102.75","6.59375","-38.71875"
"1572350898039","31","-1.1181641","0.0390625","-0.84277344","-225.3125","14.15625","-105.53125"
"1572350898159","32","-0.9970703","-0.091796875","0.03125","162.0625","46.125","-61.53125"
"1572350898248","33","-0.859375","0.22167969","-0.24023438","-40.8125","39.90625","-63.3125"
"1572350898369","34","-0.89160156","0.08496094","-0.2109375","21.5","51.5625","-57.1875"
"1572350898461","35","-0.9716797","0.23535156","-0.27246094","26.625","27.65625","-35.96875"
"1572350898548","36","-0.93652344","0.4814453","-0.31054688","-0.40625","-24.0625","-28.40625"
"1572350898668","37","-1.2695312","0.7373047","-0.15234375","6.0625","-79.03125","29.53125"
"1572350898758","38","-1.9414062","-0.07324219","-0.2861328","4.40625","-67.5","158.625"
"1572350898848","39","-0.9160156","0.037109375","-0.05859375","46.53125","-8.0","111.8125"
"1572350898969","40","-0.8046875","-0.041015625","-0.09863281","-77.3125","1.40625","78.84375"
"1572350899058","41","-0.54785156","0.11425781","0.095703125","-34.40625","26.59375","-1.0"
"1572350899149","42","-0.79785156","0.7089844","0.24707031","-41.1875","44.625","-50.90625"
"1572350899269","43","-0.82128906","0.7578125","0.3779297","-44.15625","6.71875","28.0"
"1572350899359","44","-1.1777344","1.9472656","-1.1464844","165.59375","5.625","6.71875"
"1572350899448","45","-1.6308594","0.29589844","-0.3310547","-142.6875","-26.75","-92.1875"
"1572350899569","46","-1.0380859","0.12988281","-0.1328125","115.6875","40.78125","-67.46875"
"1572350899659","47","-0.87109375","0.11035156","-0.15722656","-7.3125","64.28125","-49.9375"
"1572350899749","48","-1.0361328","0.05859375","-0.072265625","55.6875","8.1875","-57.0625"
"1572350899869","49","-1.1367188","0.123046875","-0.22460938","82.53125","-0.6875","-18.4375"
"1572350899958","50","-1.1689453","0.40039062","0.024414062","40.84375","-38.46875","0.59375"
"1572350900049","51","-1.296875","-0.057617188","0.15722656","28.59375","-100.65625","149.53125"
"1572350900169","52","-1.1816406","0.16113281","-0.07910156","105.4375","-62.0625","109.0"
"1572350900288","53","-1.0058594","-0.043945312","-0.026367188","-48.75","3.09375","113.5"
"1572350900349","54","-0.64941406","-0.25390625","-0.01953125","-75.1875","22.53125","42.65625"
"1572350900468","55","-0.6171875","0.15527344","0.107421875","-22.125","23.0","-31.6875"
"1572350900558","56","-1.2568359","1.4248047","0.2998047","2.34375","4.28125","49.5625"
"1572350900649","57","-2.0","-0.5673828","0.62109375","30.84375","51.15625","-50.25"
"1572350900769","58","-0.84277344","-0.3935547","-0.5595703","-109.15625","21.3125","-50.65625"
"1572350900859","59","-0.93652344","0.20214844","-0.13574219","45.0625","91.71875","-103.21875"
"1572350900949","60","-0.80859375","0.2421875","-0.1328125","1.5","39.65625","-58.25"
"1572350901069","61","-0.875","0.0625","-0.11621094","26.5","33.6875","-46.9375"
"1572350901159","62","-1.0869141","0.16894531","-0.19335938","15.34375","8.96875","-53.40625"
"1572350901249","63","-1.1162109","0.4375","-0.111328125","16.75","-40.09375","-8.25"
"1572350901369","64","-1.2392578","0.22167969","0.10449219","-9.3125","-106.21875","128.71875"
"1572350901459","65","-1.1835938","-0.19726562","-0.064453125","136.96875","-82.84375","113.21875"
"1572350901549","66","-0.8574219","0.06347656","-0.0390625","-29.46875","-4.53125","98.6875"
"1572350901668","67","-0.70703125","-0.31640625","-0.040039062","-101.84375","30.34375","43.09375"
"1572350901819","68","-0.6201172","0.30371094","0.10839844","-45.875","35.75","-21.25"
"1572350901849","69","-1.1015625","1.2509766","0.18359375","11.0","17.21875","-0.5"
"1572350901968","70","-1.5664062","-0.20507812","-0.034179688","6.4375","36.875","-10.5625"
"1572350902058","71","-0.515625","-0.6376953","-1.0771484","-33.71875","54.9375","-72.15625"
"1572350902149","72","-0.8330078","0.29882812","-0.07714844","119.65625","102.65625","-91.8125"
"1572350902269","73","-0.80371094","0.13574219","-0.12695312","-45.75","44.125","-73.5"
"1572350902359","74","-0.9013672","0.08105469","-0.30371094","13.875","36.875","-49.3125"
"1572350902448","75","-1.1123047","0.30273438","-0.10644531","53.5625","8.53125","-40.84375"
"1572350902568","76","-1.0556641","0.46289062","-0.19824219","5.6875","-39.0625","-13.75"
"1572350902658","77","-1.2705078","0.6484375","-0.1484375","3.875","-113.78125","83.65625"
