seq,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,upper_leg,left_right,pocket,steps
0,-0.18261719,0.9941406,-0.013671875,0.09375,-46.03125,0,1,0,1,10
1,-0.140625,0.99902344,0.006835938,-1,-35.34375,-1.0625,1,0,1,10
2,-0.14746094,0.9921875,0.009765625,0.21875,-24.375,-1.125,1,0,1,10
3,-0.16210938,0.9863281,0.043945312,1.15625,-19.53125,-1.1875,1,0,1,10
4,-0.14550781,0.9892578,0.059570312,1.5625,-8.6875,0.15625,1,0,1,10
5,-0.13574219,1.0048828,0.07128906,2.0625,-0.625,0.78125,1,0,1,10
6,-0.17871094,0.9970703,0.040039062,0.59375,4.5625,2,1,0,1,10
7,-0.17089844,1.0009766,0.036132812,2.96875,2.3125,1.5625,1,0,1,10
8,-0.15917969,1.0029297,0.03515625,2.4375,5.34375,0.59375,1,0,1,10
9,-0.16601562,0.984375,0.03125,1.21875,5.96875,-0.3125,1,0,1,10
10,-0.171875,1.0029297,0.022460938,2.78125,2.125,-0.5625,1,0,1,10
11,-0.1796875,1.0087891,0.01171875,3.46875,1.5625,-1.40625,1,0,1,10
12,-0.17089844,0.9941406,-0.034179688,8.65625,2.5625,-1.65625,1,0,1,10
13,-0.16992188,0.9863281,-0.002929688,9.875,4.125,-2.40625,1,0,1,10
14,-0.17578125,1.0107422,-0.017578125,-4.90625,9.4375,-1.46875,1,0,1,10
15,-0.19140625,0.98828125,-0.045898438,-7.65625,11.71875,-2.40625,1,0,1,10
16,-0.14355469,1,-0.044921875,-9,21.40625,2.65625,1,0,1,10
17,-0.23339844,0.9892578,-0.0703125,-14,27.09375,7.125,1,0,1,10
18,-0.17285156,0.9892578,-0.07128906,-15.34375,13.34375,12.6875,1,0,1,10
19,-0.12988281,0.95996094,-0.048828125,5.59375,13.03125,22.09375,1,0,1,10
20,0.004882813,0.98046875,-0.051757812,55.40625,18.65625,35.375,1,0,1,10
21,0.16210938,1.1181641,-0.083984375,60.03125,65.15625,35.375,1,0,1,10
22,0.078125,0.8857422,-0.18652344,31.78125,71.6875,-5.15625,1,0,1,10
23,-0.03125,0.92285156,-0.24902344,17.1875,63.40625,-29.4375,1,0,1,10
24,0.021484375,0.9609375,-0.24511719,-6.53125,35.5,-31.75,1,0,1,10
25,0.13769531,0.94921875,-0.29785156,17.75,17.75,-27.84375,1,0,1,10
26,-0.01953125,1.0351562,-0.39160156,-13.5,47.28125,-27.59375,1,0,1,10
27,-0.30859375,1.1025391,-0.3154297,-42,-7.8125,3.84375,1,0,1,10
28,0.034179688,0.94921875,0.04296875,-37.125,-11.4375,-19.125,1,0,1,10
29,-0.23730469,0.9892578,-0.055664062,-30.28125,-4.71875,-9.40625,1,0,1,10
30,-0.18261719,0.9423828,-0.08496094,9.875,-51.71875,-7.34375,1,0,1,10
31,-0.12695312,1.0126953,0.005859375,3.65625,-50.84375,-4.53125,1,0,1,10
32,-0.08886719,1.0048828,0.002929688,-14.25,-28.53125,-8.9375,1,0,1,10
33,-0.20800781,0.984375,-0.052734375,-19.65625,-31.03125,-13.375,1,0,1,10
34,-0.109375,0.9355469,-0.15136719,-10.4375,-23.28125,-5.9375,1,0,1,10
35,-0.07714844,1.0595703,-0.10449219,-16.0625,-9.90625,8.53125,1,0,1,10
36,-0.22558594,0.9716797,-0.091796875,46.875,21.71875,13.90625,1,0,1,10
37,0.18652344,1.0898438,0.040039062,118.75,21.40625,41.5625,1,0,1,10
38,0.06738281,1.0419922,-0.119140625,20.5,100.5,21.90625,1,0,1,10
39,-0.16894531,0.8154297,-0.21875,10.40625,73.34375,16.40625,1,0,1,10
40,-0.053710938,0.8779297,-0.27148438,6.28125,33.75,-30.28125,1,0,1,10
41,0.2109375,0.9003906,-0.38964844,-19.71875,25.0625,-43.03125,1,0,1,10
