"# PDIoT walking data"
"# Start time: 20190922T153423"
"# Group: B"
"# Subject: test2"
"# Activity type: Walking (level ground)"
"# Sensor position: Wrist"
"# Side of body: Left"
"# Sensor mounting: Body"
"# Number of steps: 10"
"# Notes: "
""
"timestamp","seq","accel_x","accel_y","accel_z","gyro_x","gyro_y","gyro_z"
"1569162863931","0","-1.0322266","0.59765625","-0.29101562","11.59375","10.90625","-17.46875"
"1569162864022","1","-0.87890625","0.60058594","-0.032226562","27.09375","-13.125","31.71875"
"1569162864112","2","-1.1171875","0.60253906","-0.0234375","57.40625","-28.28125","78.96875"
"1569162864202","3","-1.0234375","0.5029297","-0.001953125","-22.28125","-46.46875","115.34375"
"1569162864322","4","-0.8652344","0.38378906","-0.12207031","-9.28125","-66.96875","116.0"
"1569162864412","5","-0.7207031","0.3408203","-0.16503906","7.6875","-37.5625","74.3125"
"1569162864531","6","-0.71484375","0.3359375","-0.12402344","26.90625","-13.625","6.21875"
"1569162864652","7","-1.0244141","0.5644531","-0.23046875","11.15625","37.75","-65.6875"
"1569162864742","8","-0.79296875","0.47558594","-0.06738281","4.75","18.0625","-57.6875"
"1569162864802","9","-0.91796875","0.46289062","-0.09765625","-46.46875","23.4375","-56.90625"
"1569162864922","10","-0.7832031","0.42382812","-0.0546875","-10.03125","23.96875","-77.40625"
"1569162865012","11","-0.8105469","0.5673828","-0.059570312","3.09375","24.40625","-84.375"
"1569162865102","12","-0.9863281","0.68652344","-0.11621094","-11.625","20.1875","-71.0625"
"1569162865282","13","-1.1816406","0.8847656","-0.06542969","-27.96875","21.78125","-23.8125"
"1569162865342","14","-0.9746094","0.7578125","-0.06542969","-0.6875","-32.90625","70.1875"
"1569162865402","15","-1.0869141","0.66503906","-0.0546875","68.28125","-42.5","125.28125"
"1569162865493","16","-0.9550781","0.37402344","0.01953125","-1.90625","-45.84375","149.15625"
"1569162865612","17","-0.79003906","0.2763672","-0.0126953125","-9.34375","-34.0625","113.375"
"1569162865702","18","-0.7167969","0.234375","-0.076171875","-2.59375","-16.0","52.0"
"1569162865823","19","-0.94628906","0.3671875","-0.14160156","-5.8125","34.46875","-61.0625"
"1569162865912","20","-0.77734375","0.5488281","-0.059570312","2.5","20.25","-93.75"
"1569162866002","21","-0.9394531","0.60546875","-0.07324219","11.8125","19.03125","-96.15625"
"1569162866093","22","-0.79589844","0.53808594","-0.07519531","-10.9375","18.1875","-89.5"
"1569162866212","23","-0.79589844","0.6308594","-0.08105469","4.25","21.53125","-86.0"
"1569162866302","24","-0.9667969","0.7763672","-0.13476562","7.25","5.71875","-52.5"
"1569162866392","25","-1.1787109","0.8613281","-0.1328125","2.96875","10.59375","-7.78125"
"1569162866512","26","-0.96191406","0.6660156","-0.057617188","15.78125","-30.59375","88.84375"
"1569162866602","27","-1.0986328","0.5761719","-0.03515625","28.78125","-17.96875","122.125"
"1569162866692","28","-1.0048828","0.40625","-9.765625E-4","-17.53125","-26.8125","137.6875"
"1569162866812","29","-0.78027344","0.2685547","-9.765625E-4","-0.625","-39.03125","104.46875"
"1569162866932","30","-0.6640625","0.23242188","-0.09375","-14.90625","-19.375","47.53125"
"1569162866991","31","-0.95703125","0.3779297","-0.19042969","-5.8125","47.90625","-71.625"
"1569162867112","32","-0.7675781","0.5175781","-0.0146484375","-1.1875","25.0","-99.375"
"1569162867202","33","-1.0566406","0.6464844","-0.09082031","20.75","28.625","-112.0"
"1569162867293","34","-0.7597656","0.52246094","-0.055664062","-11.5625","5.65625","-93.53125"
"1569162867412","35","-0.7949219","0.63378906","-0.09765625","-16.875","21.65625","-85.28125"
"1569162867502","36","-0.9863281","0.8027344","-0.1328125","-9.28125","18.0","-44.28125"
"1569162867592","37","-1.1884766","0.8515625","-0.12109375","-27.53125","2.78125","17.625"
"1569162867712","38","-0.9970703","0.56347656","-0.125","5.78125","-41.15625","103.375"
"1569162867802","39","-0.9794922","0.5361328","-0.041015625","32.28125","-11.96875","108.8125"
"1569162867892","40","-0.90625","0.39746094","0.0048828125","1.625","-21.75","111.875"
"1569162868012","41","-0.71875","0.34960938","-0.032226562","-14.0625","-25.84375","89.71875"
"1569162868102","42","-0.8095703","0.3310547","-0.12109375","-10.75","-1.84375","28.3125"
"1569162868192","43","-1.0","0.46679688","-0.17480469","-2.28125","34.34375","-72.78125"
"1569162868312","44","-0.88378906","0.53808594","-0.1328125","30.25","-4.15625","-68.0"
"1569162868402","45","-0.7871094","0.4951172","-0.059570312","-25.03125","13.15625","-76.90625"
"1569162868492","46","-0.75878906","0.47070312","-0.05078125","-26.0625","27.75","-88.21875"
"1569162868612","47","-0.8535156","0.61621094","-0.083984375","-3.875","29.28125","-87.40625"
"1569162868702","48","-1.1347656","0.7890625","-0.15136719","14.21875","25.1875","-61.90625"
"1569162868792","49","-1.0517578","0.9423828","-0.038085938","-1.78125","0.28125","13.21875"
"1569162868911","50","-0.99121094","0.546875","-0.107421875","51.25","-43.53125","104.96875"
"1569162869032","51","-1.0205078","0.56152344","0.01171875","-2.03125","-19.96875","130.90625"
"1569162869092","52","-0.98046875","0.26660156","0.02734375","-14.84375","-37.625","135.375"
"1569162869213","53","-0.69628906","0.24511719","-0.0234375","-10.9375","-39.0625","90.1875"
"1569162869303","54","-0.8984375","0.2919922","-0.119140625","-14.65625","12.75","-10.28125"
"1569162869392","55","-0.80078125","0.4873047","-0.115234375","8.34375","31.40625","-97.625"
"1569162869512","56","-1.1289062","0.56347656","-0.1171875","44.1875","17.0","-96.625"
"1569162869602","57","-0.7763672","0.44921875","-0.07128906","-55.4375","21.59375","-87.40625"
"1569162869692","58","-0.8105469","0.5292969","-0.047851562","-25.46875","37.28125","-104.9375"
